Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai i20            ,ASTA 1.2                           ,1.2L km    ,Petrol    ,Manual       ,"11,910/m*" ,2.53L          ,None   ,              1.2  ,              ,2012 ,    11910.0
Hyundai i10            ,ERA 1.1                            ,21.30k km  ,Petrol    ,Manual       ,"5,248/m*"  ,1.58L          ,None   ,             21.3  ,              ,2013 ,     5248.0
Hyundai i10            ,SPORTZ 1.1                         ,96.56k km  ,Petrol    ,Manual       ,"6,662/m*"  ,2.53L          ,None   ,             96.56 ,              ,2014 ,     6662.0
Hyundai Eon            ,SPORTZ                             ,69.31k km  ,Petrol    ,Manual       ,"3,608/m*"  ,1.37L          ,None   ,             69.31 ,              ,2014 ,     3608.0
Hyundai i10            ,MAGNA 1.2                          ,39.22k km  ,Petrol    ,Manual       ,"5,281/m*"  ,1.59L          ,None   ,             39.22 ,              ,2013 ,     5281.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,67.90k km  ,Petrol    ,Manual       ,"6,999/m*"  ,3.58L          ,None   ,             67.9  ,              ,2016 ,     6999.0
Hyundai i20            ,SPORTZ 1.2                         ,99.31k km  ,Petrol    ,Manual       ,"13,949/m*" ,1.57L          ,None   ,             99.31 ,              ,2011 ,    13949.0
Hyundai i10            ,ERA 1.1                            ,87.01k km  ,Petrol    ,Manual       ,"4,816/m*"  ,1.45L          ,None   ,             87.01 ,              ,2013 ,     4816.0
Hyundai i20            ,SPORTZ 1.2                         ,75.06k km  ,Petrol    ,Manual       ,"6,967/m*"  ,1.48L          ,None   ,             75.06 ,              ,2012 ,     6967.0
Hyundai i20            ,MAGNA 1.2                          ,73.10k km  ,Petrol    ,Manual       ,"6,311/m*"  ,1.90L          ,None   ,             73.1  ,              ,2013 ,     6311.0
Hyundai i20            ,SPORTZ 1.2                         ,32.56k km  ,Petrol    ,Manual       ,"6,942/m*"  ,2.09L          ,None   ,             32.56 ,              ,2013 ,     6942.0
Hyundai i10            ,SPORTZ 1.2 AT                      ,7.55k km   ,Petrol    ,Auto         ,"10,168/m*" ,2.16L          ,None   ,              7.55 ,              ,2012 ,    10168.0
Hyundai i20            ,SPORTZ 1.2                         ,61.90k km  ,Petrol    ,Manual       ,"11,721/m*" ,2.49L          ,None   ,             61.9  ,              ,2012 ,    11721.0
Hyundai Verna          ,1.6 VTVT SX O                      ,77.19k km  ,Petrol    ,Manual       ,"11,593/m*" ,5.93L          ,None   ,             77.19 ,              ,2017 ,    11593.0
Hyundai i10            ,SPORTZ 1.2                         ,46.31k km  ,Petrol    ,Manual       ,"7,579/m*"  ,1.61L          ,None   ,             46.31 ,              ,2012 ,     7579.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,76.89k km  ,Petrol    ,Manual       ,"12,522/m*" ,2.66L          ,None   ,             76.89 ,              ,2012 ,    12522.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,87.00k km  ,Petrol    ,Manual       ,"16,881/m*" ,2.00L          ,1.90L  ,             87.0  ,         1.9  ,2011 ,    16881.0
Hyundai Verna          ,1.6 VTVT SX AT                     ,62.58k km  ,Petrol    ,Auto         ,"12,560/m*" ,6.42L          ,None   ,             62.58 ,              ,2016 ,    12560.0
Hyundai Creta          ,E 1.5 PETROL                       ,13.28k km  ,Petrol    ,Manual       ,"19,986/m*" ,10.50L         ,None   ,             13.28 ,              ,2024 ,    19986.0
Hyundai i20            ,MAGNA 1.2                          ,48.83k km  ,Petrol    ,Manual       ,1.36 lakh   ,1.36L          ,None   ,             48.83 ,              ,2010 ,        1.0
Hyundai i20            ,MAGNA 1.2                          ,87.48k km  ,Petrol    ,Manual       ,"6,120/m*"  ,1.40L          ,1.30L  ,             87.48 ,         1.3  ,2012 ,     6120.0
Hyundai i20            ,MAGNA 1.2                          ,73.47k km  ,Petrol    ,Manual       ,"11,995/m*" ,1.35L          ,None   ,             73.47 ,              ,2011 ,    11995.0
Hyundai i10            ,SPORTZ 1.2                         ,44.37k km  ,Petrol    ,Manual       ,"13,860/m*" ,1.56L          ,None   ,             44.37 ,              ,2011 ,    13860.0
Hyundai i20            ,SPORTZ 1.2                         ,1.1L km    ,Petrol    ,Manual       ,1.51 lakh   ,1.51L          ,None   ,              1.1  ,              ,2010 ,        1.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,18.29k km  ,Petrol    ,Manual       ,"6,803/m*"  ,3.48L          ,None   ,             18.29 ,              ,2017 ,     6803.0
