Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2012 Hyundai i10            ,SPORTZ 1.2 AT                      ,65.21k km  ,Petrol    ,Auto         ,"EMI ₹9,179/m*"  ,₹1.95 lakh     ,
2011 Hyundai i10            ,SPORTZ 1.2                         ,46.50k km  ,Petrol    ,Manual       ,"EMI ₹14,394/m*" ,₹1.62 lakh     ,
2014 Hyundai Eon            ,MAGNA +                            ,35.12k km  ,Petrol    ,Manual       ,"EMI ₹4,371/m*"  ,₹1.66 lakh     ,
2013 Hyundai i20            ,SPORTZ 1.2                         ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹7,905/m*"  ,₹2.38 lakh     ,
2010 Hyundai i10            ,SPORTZ 1.2                         ,71.01k km  ,Petrol    ,Manual       ,₹1.21 lakh       ,₹1.21 lakh     ,
2010 Hyundai Verna          ,TRANSFORM 1.6 VTVT                 ,57.46k km  ,Petrol    ,Manual       ,₹2.27 lakh       ,₹2.27 lakh     ,
2015 Hyundai Xcent          ,S (O) 1.2                          ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹6,117/m*"  ,₹2.85L         ,₹2.75 lakh
2014 Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,98.09k km  ,Petrol    ,Manual       ,"EMI ₹7,505/m*"  ,₹2.95L         ,₹2.85 lakh
2013 Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,88.91k km  ,Petrol    ,Manual       ,"EMI ₹7,274/m*"  ,₹2.19 lakh     ,
2011 Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹15,904/m*" ,₹1.79 lakh     ,
